Event Year,State,Observed Antimicrobial Days,Predicted Antimicrobial Days,SAAR
2021,IN,31017.0,40545.26,0.765
2021,IA,,,
2021,KS,,,
2021,KY,16745.0,17195.32,0.9738
2021,LA,41972.0,30051.93,1.3966
2021,ME,,,
2021,MD,,,
2021,MA,,,
2021,MI,22263.0,25975.17,0.8571
2021,MN,,,
2021,MS,,,
2021,MO,48131.0,48620.83,0.9899
2021,MT,,,
2021,NE,,,
2021,NV,,,
2021,NH,,,
2021,NJ,25552.0,28851.79,0.8856
2021,NM,,,
2021,NY,75882.0,73750.03,1.0289
2021,NC,46422.0,54992.79,0.8441
2021,ND,,,
2021,OH,27570.0,29790.79,0.9255
2021,OK,25519.0,19660.65,1.298
2021,OR,,,
2021,PA,,,
2021,PR,,,
2021,RI,,,
2021,SC,23278.0,28838.22,0.8072
2021,SD,,,
2021,TN,37718.0,37273.5,1.0119
2021,TX,117916.0,128259.16,0.9194
2021,UT,11977.0,10842.08,1.1047
2021,VT,,,
2021,VA,34022.0,37644.82,0.9038
2021,WA,12186.0,19393.27,0.6284
2021,WV,,,
2021,WI,12844.0,12458.29,1.031
2021,WY,,,
2022,AL,,,
2022,AK,,,
2022,AZ,,,
2022,AR,,,
2022,CA,126146.0,131405.36,0.96
2022,CO,17047.0,26523.146,0.6427
2022,CT,,,
2022,DE,,,
2022,DC,,,
2022,FL,63100.0,58380.023,1.0808
2022,GA,33183.0,34218.84,0.9697
2022,HI,,,
2022,ID,,,
2022,IL,37909.0,45730.406,0.829
2022,IN,25360.0,38495.824,0.6588
2022,IA,,,
2022,KS,,,
2022,KY,30073.0,32582.12,0.923
2022,LA,38576.0,28888.162,1.3354
2022,ME,,,
2022,MD,15138.0,14832.144,1.0206
2022,MA,15956.0,20250.662,0.7879
2022,MI,31009.0,37180.953,0.834
2022,MN,20924.0,18247.506,1.1467
2022,MS,,,
2022,MO,45457.0,51816.133,0.8773
2022,MT,,,
2022,NE,,,
2022,NV,17739.0,17933.293,0.9892
2022,NH,,,
2022,NJ,27228.0,33833.227,0.8048
2022,NM,,,
2022,NY,79175.0,79154.21,1.0003
2022,NC,47391.0,55824.58,0.8489
2022,ND,,,
2022,OH,39389.0,49739.95,0.7919
2022,OK,26656.0,20000.092,1.3328
2022,OR,,,
2022,PA,13386.0,18390.705,0.7279
2022,PR,,,
2022,RI,,,
2022,SC,24615.0,31544.04,0.7803
2022,SD,,,
2022,TN,52362.0,49545.824,1.0568
2022,TX,135922.0,151584.88,0.8967
2022,UT,10094.0,10027.132,1.0067
2022,VT,,,
2022,VA,34395.0,36340.562,0.9465
2022,WA,25039.0,36185.117,0.692
2022,WV,,,
2022,WI,13324.0,15274.121,0.8723
2022,WY,,,
2021,AL,,,
2021,AK,,,
2021,AZ,,,
2021,AR,,,
2021,CA,189608.0,200974.83,0.9434
2021,CO,,,
2021,CT,,,
2021,DE,,,
2021,DC,,,
2021,FL,82401.0,84921.4,0.9703
2021,GA,21072.0,22634.07,0.931
2021,HI,,,
2021,ID,,,
2021,IL,,,
2021,IN,49858.0,59680.59,0.8354
2021,IA,,,
2021,KS,,,
2021,KY,,,
2021,LA,,,
2021,ME,,,
2021,MD,,,
2021,MA,,,
2021,MI,,,
2021,MN,,,
2021,MS,,,
2021,MO,,,
2021,MT,,,
2021,NE,,,
2021,NV,,,
2021,NH,,,
2021,NJ,43549.0,42899.02,1.0152
2021,NM,,,
2021,NY,144087.0,164695.62,0.8749
2021,NC,72524.0,84343.71,0.8599
2021,ND,,,
2021,OH,81915.0,96172.93,0.8517
2021,OK,,,
2021,OR,,,
2021,PA,,,
2021,PR,,,
2021,RI,,,
2021,SC,,,
2021,SD,,,
2021,TN,,,
2021,TX,176111.0,169802.77,1.0372
2021,UT,,,
2021,VT,,,
2021,VA,60956.0,61856.07,0.9854
2021,,,,
2021,WA,,,
2021,WV,,,
2021,WI,,,
2022,AL,,,
2022,AK,,,
2022,AZ,,,
2022,AR,,,
2022,CA,216091.0,236133.3,0.9151
2022,CO,,,
2022,CT,,,
2022,DE,,,
2022,DC,,,
2022,FL,86443.0,87040.8,0.9931
2022,GA,25345.0,27739.824,0.9137
2022,HI,,,
2022,ID,,,
2022,IL,55451.0,60662.92,0.9141
2022,IN,28831.0,33847.434,0.8518
2022,IA,,,
2022,KS,,,
2022,KY,,,
2022,LA,,,
2022,ME,,,
2022,MD,,,
2022,MA,,,
2022,MI,,,
2022,MN,,,
2022,MS,,,
2022,MO,86349.0,99513.22,0.8677
2022,MT,,,
2022,NE,,,
2022,NV,,,
2022,NH,,,
2022,NJ,49960.0,59285.645,0.8427
2022,NM,,,
2022,NY,200838.0,224413.77,0.8949
2022,NC,81537.0,91401.805,0.8921
2022,ND,,,
2022,OH,102326.0,120031.69,0.8525
2022,OK,,,
2022,OR,,,
2022,PA,,,
2022,PR,,,
