Year,state,State ANSI,Value
2002,LA,22,750192000
2002,ME,23,241247000
2002,MD,24,843101000
2002,MA,25,107244000
2002,MI,26,1409807000
2002,MN,27,4012745000
2002,MS,28,2090909000
2002,MO,29,2990809000
2002,MT,30,1148791000
2002,NE,31,6315392000
2002,NV,32,289259000
2002,NH,33,61686000
2002,NJ,34,92378000
2002,NM,35,1302773000
2002,NY,36,1982706000
2002,NC,37,4953052000
2002,ND,38,772994000
2002,OH,39,1958654000
2002,OK,40,3637326000
2002,OR,41,1000586000
2002,PA,42,2936045000
2002,RI,44,8408000
2002,SC,45,896505000
2002,SD,46,2258715000
2002,TN,47,1127266000
2002,TX,48,10402993000
2002,UT,49,858101000
2002,VT,50,401482000
2002,VA,51,1642692000
2002,WA,53,1747922000
2002,WV,54,413121000
2002,WI,55,3933204000
2002,WY,56,726111000
1997,AL,1,2542444000
1997,AK,2,8682000
1997,AZ,4,694814000
1997,AR,5,3380717000
1997,CA,6,6078374000
1997,CO,8,3202915000
1997,CT,9,160922000
1997,DE,10,590898000
1997,FL,12,1284385000
1997,GA,13,3187272000
1997,HI,15,95524000
1997,ID,16,1571526000
1997,IL,17,2031913000
1997,IN,18,2025804000
1997,IA,19,5780489000
1997,KS,20,5960622000
1997,KY,21,1547847000
1997,LA,22,684837000
1997,ME,23,230678000
1997,MD,24,914851000
1997,MA,25,98596000
1997,MI,26,1380183000
1997,MN,27,4092288000
1997,MS,28,2140420000
1997,MO,29,3076070000
1997,MT,30,969303000
1997,NE,31,6056130000
1997,NV,32,205643000
1997,NH,33,77665000
1997,NJ,34,106613000
1997,NM,35,1167893000
1997,NY,36,1864222000
1997,NC,37,5231707000
1997,ND,38,678214000
1997,OH,39,1873429000
1997,OK,40,3302048000
1997,OR,41,856355000
1997,PA,42,2794725000
1997,RI,44,9661000
1997,SC,45,858086000
1997,SD,46,1919692000
1997,TN,47,1089261000
1997,TX,48,9540334000
1997,UT,49,633243000
1997,VT,50,415007000
1997,VA,51,1600769000
1997,WA,53,1544362000
1997,WV,54,390423000
1997,WI,55,4039613000
1997,WY,56,723549000
