SAAR Population,Agent,Event Year,State,ID State,Observed Antimicrobial Days,Predicted Antimicrobial Days,Days Present
Adult,All,2023,Iowa,19,303858,341003.78,532993
Adult,All,2023,Kansas,20,275692,300376.9,463477
Adult,All,2023,Kentucky,21,1084262,1098009.4,1684803
Adult,All,2023,Louisiana,22,928794,906937.75,1391744
Adult,All,2023,Maine,23,304693,339040.53,548226
Adult,All,2023,Maryland,24,665482,696034.44,1108714
Adult,All,2023,Massachusetts,25,1114303,1264812.9,2029616
Adult,All,2023,Michigan,26,1239681,1383464.6,2172349
Adult,All,2023,Minnesota,27,993859,1059799,1697282
Adult,All,2023,Mississippi,28,582299,540829.06,839953
Adult,All,2023,Missouri,29,1694477,1692933.4,2657190
Adult,All,2023,Montana,30,188845,216635.03,343753
Adult,All,2023,Nebraska,31,285586,325936.75,513265
Adult,All,2023,Nevada,32,803711,785996.4,1245897
Adult,All,2023,New Hampshire,33,144110,171453.88,262420
Adult,All,2023,New Jersey,34,1201902,1304790.1,2057667
Adult,All,2023,New Mexico,35,291124,282021.75,423625
Adult,All,2023,New York,36,4187966,4551930,7322010
Adult,All,2023,North Carolina,37,1841526,1932211.9,3054737
Adult,All,2023,North Dakota,38,176578,186208.42,302315
Adult,All,2023,Ohio,39,2656638,2878879,4508872
Adult,All,2023,Oklahoma,40,670735,621126.94,974326
Adult,All,2023,Oregon,41,578203,663462.7,1043558
Adult,All,2023,Pennsylvania,42,1440706,1574563,2474326
Adult,All,2023,Puerto Rico,72,,,
Adult,All,2023,Rhode Island,44,,,
Adult,All,2023,South Carolina,45,1025954,1093966.2,1733677
Adult,All,2023,South Dakota,46,,,
Adult,All,2023,Tennessee,47,1904032,1875147.1,2930844
Adult,All,2023,Texas,48,5168762,4823541.5,7499477
Adult,All,2023,Utah,49,160364,181294.88,281962
Adult,All,2023,Vermont,50,,,
Adult,All,2023,Virginia,51,1903190,1866158.8,2939210
Adult,All,2023,Washington,53,1252636,1374155.9,2178797
Adult,All,2023,West Virginia,54,200748,164631.62,259204
Adult,All,2023,Wisconsin,55,778395,871934.9,1370328
Adult,All,2023,Wyoming,56,,,
Neonatal,All,2021,Alabama,1,,,
Neonatal,All,2021,Alaska,2,,,
Neonatal,All,2021,Arizona,4,,,
Neonatal,All,2021,Arkansas,5,,,
Neonatal,All,2021,California,6,108721,109942.2,404661
Neonatal,All,2021,Colorado,8,14958,25243.43,103534
Neonatal,All,2021,Connecticut,9,,,
Neonatal,All,2021,Delaware,10,,,
Neonatal,All,2021,District of Columbia,11,,,
Neonatal,All,2021,Florida,12,53288,56322.55,223552
Neonatal,All,2021,Georgia,13,30305,34962.82,129911
Neonatal,All,2021,Hawaii,15,,,
Neonatal,All,2021,Idaho,16,,,
Neonatal,All,2021,Illinois,17,31838,37135.73,130425
Neonatal,All,2021,Indiana,18,31017,40545.26,168721
Neonatal,All,2021,Iowa,19,,,
Neonatal,All,2021,Kansas,20,,,
Neonatal,All,2021,Kentucky,21,16745,17195.32,78665
Neonatal,All,2021,Louisiana,22,41972,30051.93,129040
Neonatal,All,2021,Maine,23,,,
Neonatal,All,2021,Maryland,24,,,
Neonatal,All,2021,Massachusetts,25,,,
Neonatal,All,2021,Michigan,26,22263,25975.17,95431
Neonatal,All,2021,Minnesota,27,,,
Neonatal,All,2021,Mississippi,28,,,
Neonatal,All,2021,Missouri,29,48131,48620.83,202016
Neonatal,All,2021,Montana,30,,,
Neonatal,All,2021,Nebraska,31,,,
Neonatal,All,2021,Nevada,32,,,
Neonatal,All,2021,New Hampshire,33,,,
Neonatal,All,2021,New Jersey,34,25552,28851.79,104937
Neonatal,All,2021,New Mexico,35,,,
Neonatal,All,2021,New York,36,75882,73750.03,272987
Neonatal,All,2021,North Carolina,37,46422,54992.79,213333
Neonatal,All,2021,North Dakota,38,,,
Neonatal,All,2021,Ohio,39,27570,29790.79,110711
Neonatal,All,2021,Oklahoma,40,25519,19660.65,86002
Neonatal,All,2021,Oregon,41,,,
Neonatal,All,2021,Pennsylvania,42,,,
Neonatal,All,2021,Puerto Rico,72,,,
Neonatal,All,2021,Rhode Island,44,,,
Neonatal,All,2021,South Carolina,45,23278,28838.22,115519
Neonatal,All,2021,South Dakota,46,,,
Neonatal,All,2021,Tennessee,47,37718,37273.5,156718
Neonatal,All,2021,Texas,48,117916,128259.16,478413
Neonatal,All,2021,Utah,49,11977,10842.08,40288
Neonatal,All,2021,Vermont,50,,,
Neonatal,All,2021,Virginia,51,34022,37644.82,158623
Neonatal,All,2021,Washington,53,12186,19393.27,80586
Neonatal,All,2021,West Virginia,54,,,
Neonatal,All,2021,Wisconsin,55,12844,12458.29,57946
Neonatal,All,2021,Wyoming,56,,,
Neonatal,All,2022,Alabama,1,,,
Neonatal,All,2022,Alaska,2,,,
Neonatal,All,2022,Arizona,4,,,
Neonatal,All,2022,Arkansas,5,,,
Neonatal,All,2022,California,6,126146,131405.36,497153
Neonatal,All,2022,Colorado,8,17047,26523.146,112896
Neonatal,All,2022,Connecticut,9,,,
Neonatal,All,2022,Delaware,10,,,
Neonatal,All,2022,District of Columbia,11,,,
Neonatal,All,2022,Florida,12,63100,58380.023,250966
Neonatal,All,2022,Georgia,13,33183,34218.84,132285
Neonatal,All,2022,Hawaii,15,,,
Neonatal,All,2022,Idaho,16,,,
Neonatal,All,2022,Illinois,17,37909,45730.406,165250
Neonatal,All,2022,Indiana,18,25360,38495.824,153044
Neonatal,All,2022,Iowa,19,,,
Neonatal,All,2022,Kansas,20,,,
Neonatal,All,2022,Kentucky,21,30073,32582.12,121292
Neonatal,All,2022,Louisiana,22,38576,28888.162,130997
Neonatal,All,2022,Maine,23,,,
Neonatal,All,2022,Maryland,24,15138,14832.144,61995
Neonatal,All,2022,Massachusetts,25,15956,20250.662,89699
Neonatal,All,2022,Michigan,26,31009,37180.953,137973
Neonatal,All,2022,Minnesota,27,20924,18247.506,80614
Neonatal,All,2022,Mississippi,28,,,
Neonatal,All,2022,Missouri,29,45457,51816.133,206571
Neonatal,All,2022,Montana,30,,,
Neonatal,All,2022,Nebraska,31,,,
Neonatal,All,2022,Nevada,32,17739,17933.293,72342
Neonatal,All,2022,New Hampshire,33,,,
Neonatal,All,2022,New Jersey,34,27228,33833.227,122471
Neonatal,All,2022,New Mexico,35,,,
Neonatal,All,2022,New York,36,79175,79154.21,296515
Neonatal,All,2022,North Carolina,37,47391,55824.58,218508
Neonatal,All,2022,North Dakota,38,,,
Neonatal,All,2022,Ohio,39,39389,49739.95,192333
Neonatal,All,2022,Oklahoma,40,26656,20000.092,87752
Neonatal,All,2022,Oregon,41,,,
Neonatal,All,2022,Pennsylvania,42,13386,18390.705,70941
Neonatal,All,2022,Puerto Rico,72,,,
Neonatal,All,2022,Rhode Island,44,,,
Neonatal,All,2022,South Carolina,45,24615,31544.04,123872
Neonatal,All,2022,South Dakota,46,,,
Neonatal,All,2022,Tennessee,47,52362,49545.824,194801
Neonatal,All,2022,Texas,48,135922,151584.88,581254
Neonatal,All,2022,Utah,49,10094,10027.132,38695
Neonatal,All,2022,Vermont,50,,,
Neonatal,All,2022,Virginia,51,34395,36340.562,156363
Neonatal,All,2022,Washington,53,25039,36185.117,140597
Neonatal,All,2022,West Virginia,54,,,
Neonatal,All,2022,Wisconsin,55,13324,15274.121,57882
Neonatal,All,2022,Wyoming,56,,,
Pediatric,All,2021,Alabama,1,,,
Pediatric,All,2021,Alaska,2,,,
Pediatric,All,2021,Arizona,4,,,
Pediatric,All,2021,Arkansas,5,,,
Pediatric,All,2021,California,6,189608,200974.83,367130
Pediatric,All,2021,Colorado,8,,,
Pediatric,All,2021,Connecticut,9,,,
Pediatric,All,2021,Delaware,10,,,
Pediatric,All,2021,District of Columbia,11,,,
Pediatric,All,2021,Florida,12,82401,84921.4,154168
Pediatric,All,2021,Georgia,13,21072,22634.07,45101
Pediatric,All,2021,Hawaii,15,,,
Pediatric,All,2021,Idaho,16,,,
Pediatric,All,2021,Illinois,17,,,
Pediatric,All,2021,Indiana,18,49858,59680.59,112627
Pediatric,All,2021,Iowa,19,,,
Pediatric,All,2021,Kansas,20,,,
Pediatric,All,2021,Kentucky,21,,,
Pediatric,All,2021,Louisiana,22,,,
Pediatric,All,2021,Maine,23,,,
Pediatric,All,2021,Maryland,24,,,
Pediatric,All,2021,Massachusetts,25,,,
Pediatric,All,2021,Michigan,26,,,
Pediatric,All,2021,Minnesota,27,,,
Pediatric,All,2021,Mississippi,28,,,
Pediatric,All,2021,Missouri,29,,,
Pediatric,All,2021,Montana,30,,,
Pediatric,All,2021,Nebraska,31,,,
Pediatric,All,2021,Nevada,32,,,
Pediatric,All,2021,New Hampshire,33,,,
Pediatric,All,2021,New Jersey,34,43549,42899.02,84312
Pediatric,All,2021,New Mexico,35,,,
Pediatric,All,2021,New York,36,144087,164695.62,324945
Pediatric,All,2021,North Carolina,37,72524,84343.71,161572
Pediatric,All,2021,North Dakota,38,,,
Pediatric,All,2021,Ohio,39,81915,96172.93,183159
Pediatric,All,2021,Oklahoma,40,,,
Pediatric,All,2021,Oregon,41,,,
Pediatric,All,2021,Pennsylvania,42,,,
Pediatric,All,2021,Puerto Rico,72,,,
Pediatric,All,2021,Rhode Island,44,,,
Pediatric,All,2021,South Carolina,45,,,
Pediatric,All,2021,South Dakota,46,,,
Pediatric,All,2021,Tennessee,47,,,
Pediatric,All,2021,Texas,48,176111,169802.77,309303
Pediatric,All,2021,Utah,49,,,
Pediatric,All,2021,Vermont,50,,,
Pediatric,All,2021,Virginia,51,60956,61856.07,114713
Pediatric,All,2021,,80,,,
Pediatric,All,2021,Washington,53,,,
Pediatric,All,2021,West Virginia,54,,,
Pediatric,All,2021,Wisconsin,55,,,
Pediatric,All,2022,Alabama,1,,,
Pediatric,All,2022,Alaska,2,,,
Pediatric,All,2022,Arizona,4,,,
Pediatric,All,2022,Arkansas,5,,,
Pediatric,All,2022,California,6,216091,236133.3,435450
Pediatric,All,2022,Colorado,8,,,
Pediatric,All,2022,Connecticut,9,,,
Pediatric,All,2022,Delaware,10,,,
Pediatric,All,2022,District of Columbia,11,,,
Pediatric,All,2022,Florida,12,86443,87040.8,164660
Pediatric,All,2022,Georgia,13,25345,27739.824,54249
Pediatric,All,2022,Hawaii,15,,,
Pediatric,All,2022,Idaho,16,,,
Pediatric,All,2022,Illinois,17,55451,60662.92,113229
Pediatric,All,2022,Indiana,18,28831,33847.434,63271
Pediatric,All,2022,Iowa,19,,,
Pediatric,All,2022,Kansas,20,,,
Pediatric,All,2022,Kentucky,21,,,
Pediatric,All,2022,Louisiana,22,,,
Pediatric,All,2022,Maine,23,,,
Pediatric,All,2022,Maryland,24,,,
Pediatric,All,2022,Massachusetts,25,,,
Pediatric,All,2022,Michigan,26,,,
Pediatric,All,2022,Minnesota,27,,,
Pediatric,All,2022,Mississippi,28,,,
Pediatric,All,2022,Missouri,29,86349,99513.22,191129
Pediatric,All,2022,Montana,30,,,
Pediatric,All,2022,Nebraska,31,,,
Pediatric,All,2022,Nevada,32,,,
Pediatric,All,2022,New Hampshire,33,,,
Pediatric,All,2022,New Jersey,34,49960,59285.645,120374
Pediatric,All,2022,New Mexico,35,,,
Pediatric,All,2022,New York,36,200838,224413.77,439596
Pediatric,All,2022,North Carolina,37,81537,91401.805,174692
Pediatric,All,2022,North Dakota,38,,,
Pediatric,All,2022,Ohio,39,102326,120031.69,233307
Pediatric,All,2022,Oklahoma,40,,,
Pediatric,All,2022,Oregon,41,,,
Pediatric,All,2022,Pennsylvania,42,,,
Pediatric,All,2022,Puerto Rico,72,,,
Pediatric,All,2022,Rhode Island,44,,,
Pediatric,All,2022,South Carolina,45,,,
Pediatric,All,2022,South Dakota,46,,,
Pediatric,All,2022,Tennessee,47,,,
Pediatric,All,2022,Texas,48,273893,272524.16,506011
Pediatric,All,2022,Utah,49,,,
Pediatric,All,2022,Vermont,50,,,
Pediatric,All,2022,Virginia,51,59827,59177.848,109969
Pediatric,All,2022,Washington,53,,,
Pediatric,All,2022,West Virginia,54,,,
Pediatric,All,2022,Wisconsin,55,,,
Pediatric,All,2022,Wyoming,56,,,
Pediatric,All,2023,Alabama,1,,,
Pediatric,All,2023,Alaska,2,,,
Pediatric,All,2023,Arizona,4,,,
Pediatric,All,2023,Arkansas,5,,,
Pediatric,All,2023,California,6,225921,246416.77,452076
Pediatric,All,2023,Colorado,8,,,
Pediatric,All,2023,Connecticut,9,,,
Pediatric,All,2023,Delaware,10,,,
Pediatric,All,2023,District of Columbia,11,,,
Pediatric,All,2023,Florida,12,115305,110870.53,202086
Pediatric,All,2023,Georgia,13,34280,35835.99,69270
Pediatric,All,2023,Hawaii,15,,,
Pediatric,All,2023,Idaho,16,,,
Pediatric,All,2023,Illinois,17,49317,52708.535,97423
Pediatric,All,2023,Indiana,18,37948,47036.42,89400
Pediatric,All,2023,Iowa,19,,,
Pediatric,All,2023,Kansas,20,,,
Pediatric,All,2023,Kentucky,21,,,
Pediatric,All,2023,Louisiana,22,,,
Pediatric,All,2023,Maine,23,,,
Pediatric,All,2023,Maryland,24,,,
Pediatric,All,2023,Massachusetts,25,,,
Pediatric,All,2023,Michigan,26,,,
Pediatric,All,2023,Minnesota,27,74686,62262.062,121086
Pediatric,All,2023,Mississippi,28,,,
Pediatric,All,2023,Missouri,29,87495,95696.54,183874
Pediatric,All,2023,Montana,30,,,
Pediatric,All,2023,Nebraska,31,,,
Pediatric,All,2023,Nevada,32,,,
Pediatric,All,2023,New Hampshire,33,,,
Pediatric,All,2023,New Jersey,34,52599,60178.42,120195
Pediatric,All,2023,New Mexico,35,,,
Pediatric,All,2023,New York,36,213840,226001.81,446160
Pediatric,All,2023,North Carolina,37,85963,89671.8,169290
Pediatric,All,2023,North Dakota,38,,,
Pediatric,All,2023,Ohio,39,120259,130827.445,252145
Pediatric,All,2023,Oklahoma,40,,,
Pediatric,All,2023,Oregon,41,,,
Pediatric,All,2023,Pennsylvania,42,78466,99340.8,183514
Pediatric,All,2023,Puerto Rico,72,,,
Pediatric,All,2023,Rhode Island,44,,,
Pediatric,All,2023,South Carolina,45,,,
Pediatric,All,2023,South Dakota,46,,,
Pediatric,All,2023,Tennessee,47,,,
Pediatric,All,2023,Texas,48,283135,268043.03,495866
Pediatric,All,2023,Utah,49,,,
Pediatric,All,2023,Vermont,50,,,
Pediatric,All,2023,Virginia,51,50645,48179.49,91178
Pediatric,All,2023,Washington,53,55835,65010.094,124168
Pediatric,All,2023,West Virginia,54,,,
Pediatric,All,2023,Wisconsin,55,,,
Pediatric,All,2023,Wyoming,56,,,
